Date,Daily.SAIDI
2016-02-19,0.082416442
2016-02-20,0.091272322
2016-02-21,0.119483445
2016-02-22,0.167097104
2016-02-23,1.04481063
2016-02-24,1.192440168
2016-02-25,0.463384833
2016-02-26,0.082682473
2016-02-27,0.149456285
2016-02-28,0.061045275
2016-02-29,0.13101146
2016-03-01,0.269968383
2016-03-02,0.074400037
2016-03-03,0.115079152
2016-03-04,0.120488451
2016-03-05,0.062830639
2016-03-06,0.046112061
2016-03-07,0.126678109
2016-03-08,0.460127429
2016-03-09,2.23994658
2016-03-10,0.456272934
2016-03-11,0.240835019
2016-03-12,0.037001973
2016-03-13,0.530501529
2016-03-14,0.220043209
2016-03-15,0.192523767
2016-03-16,0.710232155
2016-03-17,0.109149614
2016-03-18,0.189668367
2016-03-19,0.524838022
2016-03-20,0.186895731
2016-03-21,0.599575032
2016-03-22,0.162876077
2016-03-23,0.204660698
2016-03-24,1.628512472
2016-03-25,0.240758166
2016-03-26,0.056629158
2016-03-27,0.285055304
2016-03-28,0.086974442
2016-03-29,0.07880433
2016-03-30,0.278806528
2016-03-31,0.206688447
2016-04-01,0.872777171
2016-04-02,0.272167574
2016-04-03,0.168202611
2016-04-04,0.277021164
2016-04-05,0.103492018
2016-04-06,0.136473966
2016-04-07,0.233675826
2016-04-08,0.152500863
2016-04-09,0.158418578
2016-04-10,0.098313279
2016-04-11,0.63426549
2016-04-12,0.150366702
2016-04-13,0.983800826
2016-04-14,0.179145358
2016-04-15,0.17643184
2016-04-16,0.267260777
2016-04-17,0.872907231
2016-04-18,2.784299463
2016-04-19,0.865340123
2016-04-20,0.289329537
2016-04-21,0.684149282
2016-04-22,0.256388972
2016-04-23,0.590269854
2016-04-24,0.197856213
2016-04-25,0.338994592
2016-04-26,0.213835816
2016-04-27,13.91079695
2016-04-28,5.506087523
2016-04-29,1.28699354
2016-04-30,6.858347366
2016-05-01,1.640649403
2016-05-02,0.322382426
2016-05-03,0.124703567
2016-05-04,0.07365515
2016-05-05,0.35653491
2016-05-06,0.127233818
2016-05-07,0.080707931
2016-05-08,0.322293749
2016-05-09,0.87437927
2016-05-10,3.554548239
2016-05-11,0.890902758
2016-05-12,0.744071314
2016-05-13,0.246031494
2016-05-14,0.243779097
2016-05-15,0.635436027
2016-05-16,0.28451733
2016-05-17,0.142444887
2016-05-18,0.841438705
2016-05-19,0.442350639
2016-05-20,0.728286801
2016-05-21,0.289495067
2016-05-22,0.982027285
2016-05-23,0.123450264
2016-05-24,0.294537835
