Method,Event_Grouping,Census_Division,CT,ME,MA,NH,RI,VT,NJ,NY,PA,IL,IN,MI,OH,WI,IA,KS,MN,MO,NE,ND,SD,DE,DC,FL,GA,MD,NC,SC,VA,WV,AL,KY,MS,TN,AR,LA,OK,TX,AZ,CO,ID,MT,NV,NM,UT,WY,CA,OR,WA,AK,HI
IEEE,Loss of Supply Removed,2015,111.7,171.3,87.6,117,341.8,179.4,259,143,157.4,168.1,244,363.7,149.8,102.9,85.7,242.1,159.9,249.2,49,80.2,98.1,180,112.4,80.3,355.1,113.8,200.5,195.3,231.8,771.6,224.2,232,316.9,256.3,324.8,392.1,346,270.2,87.4,103,204.2,284.7,153.8,53.3,217.6,159.4,123.9,220.5,417.2,782.3,
IEEE,Loss of Supply Removed,2016,199.6,510.3,153.3,190.9,163.2,187.4,115.7,185.1,122.1,133,234.4,262.6,142.1,144.4,122.5,151.4,302.6,149.8,52.2,147.1,119.1,147.3,115,387,177.8,115.5,852.6,1663.3,302.8,582.9,161,183.9,302.7,206.4,404.8,429.8,316.1,208.7,85.9,147.2,174,110.7,457,103.3,206.4,172.5,119.7,175.8,236.7,272.5,98.9
IEEE,Loss of Supply Removed,2017,348.6,2440.6,186.1,915,716.8,1782.7,80.4,350,169.1,117.1,197.5,798.2,225.1,215.3,109.7,359.5,129.1,445.9,110.4,81.8,87.7,153.1,57.5,2666.6,906.4,100.7,253.4,371.1,232.1,618,199.5,173.9,588,603.1,383,400.9,147.8,457.5,82.9,122.1,239,209.1,82.8,105.1,139.1,190.1,190.2,315.6,301.3,159.6,252.7
IEEE,Loss of Supply Removed,2018,759,639.3,907,449.7,537.4,732.1,491.6,402.7,551.3,140.5,263,448,210.4,108.8,102.8,140,120.2,174.1,96.1,83.8,75.7,135.3,109.2,302.8,238.9,328.4,1670.3,463.6,1099.9,676.3,195.4,399.8,310.2,213.1,325.8,260.7,135.5,165.9,94.3,96.5,155.7,107.4,93.3,118.1,119.8,116.9,150,103.6,244.2,359.2,188.7
IEEE,Loss of Supply Removed,2019,246.6,881.8,256.4,219.6,223.8,329.4,240.2,327.5,240.3,110.3,217.4,565.5,277.4,377.5,111,266.1,137.6,372.9,54.9,131.6,250.6,102,77,83.2,117.2,139.3,266.1,319.8,439.2,691.2,158.4,192.1,537.3,251.6,376.1,441.5,153.5,248.4,71.6,181.9,122.9,138.9,92,141.6,140.5,151.1,615.7,224.4,292.2,317.1,164.8
IEEE,Loss of Supply Removed,2020,3032.5,1718.4,231,407.9,452.9,151,911.3,455.1,343.6,333.9,205.1,414.3,261.5,114,1053,100.7,124.4,159.8,96.1,113.3,86.7,276.1,44,194.9,509.8,109.2,414.4,308.9,308.6,538.6,3440.8,275,1558.2,601.1,727.9,4204.5,475.5,426.3,65,131.5,173.6,240.7,54.4,136.4,614,263.5,266,317.9,237.8,251.4,118
IEEE,Loss of Supply Removed,2021,169.7,312.1,600.8,165,436,210.1,127.1,221,209.6,125.6,225.2,882.1,191.7,360.7,115.7,327.9,115.7,265.6,555.3,77,78.2,64.8,52,77.2,122.9,125.1,207.3,106.2,793.3,1002,215.8,630.1,1419.2,299.5,286.2,5836.4,132.9,683.7,91,168.4,223.8,211.2,6.8,190.9,114.9,165.1,266,1500.8,468.6,501.7,
IEEE,Loss of Supply Removed,2022,187.1,930.7,186.4,487.4,81.1,877.6,81.4,354,195.1,89.2,217.6,519.9,318.9,305.2,80.1,157.9,270.3,144.2,71.1,789.8,244.7,80.8,33.7,1012.6,185.2,224.6,423.1,274.4,1103.6,850.9,230.1,328.1,519.9,425.9,427.2,306.6,141.7,202.6,103.7,138.2,112.7,187.7,424.3,134.6,103.4,157.3,195.3,304,345.6,820.6,
IEEE,Loss of Supply Removed,2023,188.2,1781.4,268.5,587.7,100.8,480.1,99.2,207.5,248.3,209.9,462.1,1131.2,336,200.9,75.5,274.4,123.6,391.2,66.4,259,62.2,112.1,71.9,160,300.3,156.1,249.9,140.4,280.6,700.4,380.2,841.1,991.9,933.4,879,633.7,1012.7,604.3,88.7,96.2,95.9,93.9,96.9,139,119.9,106.4,351.5,115.9,113.4,472.5,
Any,All Events (With Major Event Days),2013,179.6,971.3,427.3,249.7,783.2,436,165.8,124.1,138.6,181.8,231.8,782.3,217.2,146.2,124.6,255.5,367.2,319.9,125.7,108.3,959.8,157.7,124,87,151.6,116.8,226.6,117,467.8,542.1,237.3,176.1,198.4,171.1,276.7,327.8,620.9,185.5,75.2,129,261,161.7,68.2,149.2,189.7,363.4,98.9,170.7,154.8,360.7,145
Any,All Events (With Major Event Days),2014,86.3,1049.3,124.5,862.9,54.2,745,112,92.7,399.6,195.7,239.9,574.7,187.9,144.7,164.7,152.4,119.4,136.7,123,87,115.8,169.1,96,92.1,246.3,244.8,481.9,799.5,187.3,662.8,206.1,246.8,226,225,235.1,310.4,119.1,192.5,87.2,84,245.2,138.8,75.7,82.4,187.2,193.2,108.8,289.3,330.5,313.8,262.5
Any,All Events (With Major Event Days),2015,103.3,213.6,91.2,149.3,341.8,204.2,260.6,86.5,156.7,169.3,244,363.4,172.1,105,96.8,347.3,154.5,171.1,86.2,113.9,133.3,189.9,112.4,85.4,243.7,124.4,210.6,224.1,203.5,814.6,212.3,243.9,310.4,222.4,306.7,361.1,831.4,271.7,90.9,110.1,465.3,287.9,107,122.3,199.6,184.6,118.4,212.6,646.3,605.4,266.1
