Total Nameplate Capacity by State and Year (MW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
NH,5774.04,5785.86,5765.66,5770.22,5760.8,5746.37,5766.49,5857.05,5989.5,5992.27,6016,6029,7240,9060,9107,9106,9106,8987,9035,9024,9001,8979.4,9289,9474.8,9251,9204,9225.4,9401,9397.2,9454.8,9459.6,9427.6,9427.6,9460.6,271371.26
NJ,31629.17,31905.77,33680.47,35052,35504.44,36517.38,36142.46,36051.76,35797.39,35748.8,36905,35460,40473,40965,39753,38804,41024,40314,40276,40167,40080,39386.4,41485,41660.4,42062,41102.4,41475.6,38998.4,38406.4,37970.2,38136,38116.6,36323,36576.4,1293949.44
NM,11303.08,11260.42,11301.04,11391.84,11429.48,11426.48,11560.34,11773,11963.8,11968.6,12134,12393,13055,13848,13926,14189,15654,15868,17590,17787,18031,18290.8,18370.4,17422.6,17626,18321.6,18519.6,18003,18262,18924.4,19568.8,22993,21695,22688.2,530538.48
NV,10587.9,11274.54,11829.2,12067.42,13097.04,13273.78,13475.88,13492.28,13489.28,14197.1,14146,14928,14988,16782,19678,19680,22198,23052,26048,26320,26356,27033.2,24618.8,24767.4,24368.4,25242.2,27114.4,26694.8,26270.8,27187.6,27510.4,29075.4,29919,32023,702785.82
NY,69142.01,70089.32,72121.48,72080.73,77146.09,77039.36,77505.38,76853.36,76599.79,72731.39,76183,77867,78964,80013,82317,85654,86268,85541,84497,86210,85686,87312.8,86836.8,86749.4,87013.6,87078.8,86510.8,86595.6,88473.8,88294,87137.2,85909,85171.6,85972.6,2779564.91
OH,58472.32,60157.48,59393.4,59569.12,59966.12,59778.35,59523.17,57871.65,58615.03,58936.43,61026,63940,68419,73802,73954,73452,73378,73417,72885,72925,72036,72610.4,72053,71315.6,69069.4,63118.6,63214.4,66442.6,64588,62810.2,59828,64302.4,60200.4,63456,2224526.07
OK,28933.72,29060.16,29116.86,29099.08,29166.4,29237.34,29379.74,28672.62,28572.54,29216.94,29831,32126,35179,39667,42395,43023,43684,43803,44533,45787,46127,48101.2,50417.8,50438.6,51743.8,54221.2,56636.8,58462.6,60810.4,60904.4,62197.2,64380,66642.4,67960.8,1489527.6
OR,21875.12,21864.52,21907.98,19440.68,19504.18,20384.32,21783.46,21806.64,21608.1,21261.4,21349,22745,24552,25496,25244,25481,25720,27605,27820,29049,29580,30028.2,32195,32344.8,33048.4,33096.8,34157.8,34479.6,34698.6,35318.2,35063.6,35373.4,35949.4,36410,938241.2
PA,77897.83,78191.26,78649.05,78955.05,79515.34,79718.82,79733.42,79882.02,79642.39,80079.38,79885,82236,87066,93259,99230,98797,98681,98349,98750,99574,99300,99849.4,99399.6,94969.2,93949.2,92516.4,96451.8,96509.2,106644.2,104275,106327.2,108005.8,106170.4,104652.6,3137111.56
RI,1238.62,1757.52,1544.06,1547.96,1552.96,2264.9,2263.42,2266.82,2237.1,2234.98,2770,2773,3969,4021,4033,4045,4049,4045,4040,4041,4045,4037,4038.4,4083.8,4092.8,4103.4,4187.8,4247.6,4282.8,4420.6,4618.6,4594.8,4656.8,4945.2,117048.94
